MUSTERI_ARIZA	ALTYAPI	SANTRAL_MESAFESI	ATTENUATION_DOWN	NOISE_MARGIN_UP	HIZMET_KALITESI
0	1	1171	21	18	1
0	2	652	24	8	0,999
0	1	1107	21	13	1
0	2	937	16	18	0,625
0	2	26	1	37	1
0	2	220	1	33	1
0	1	403	7	13	1
1	2	71	8	17	0,999
0	2	125	15	19	1
0	3	6	3	24	1
0	2	186	9	15	1
0	3	4	7	28	1
0	1	1354	23	21	0,75
0	2	11	9	25	1
0	3	6	4	22	1
0	2	833	9	9	1
0	1	307	15	25	1
0	1	1060	24	11	0,663
0	2	844	6	10	1
0	2	190	3	15	0,499
0	1	264	2	20	0,667
0	2	186	9	17	0,706
0	2	210	8	10	1
0	1	348	14	14	1
1	2	610	9	19	1
0	2	827	19	20	1
0	2	218	7	28	1
0	1	1173	19	13	1
0	2	841	16	27	0,75
0	2	573	23	8	0,749
1	3	79	3	31	1
0	2	224	7	30	1
0	1	975	24	10	0,85
0	1	469	18	17	1
0	2	540	23	6	0,556
0	2	98	10	9	1
0	3	2	6	19	1
0	2	95	3	6	1
0	2	168	8	17	1
0	1	486	19	20	0,875
0	2	70	6	24	0,798
0	1	1108	23	11	1
0	2	933	6	13	0,984
0	1	1178	22	20	0,739
0	2	130	10	26	1
0	1	620	33	8	0,68
0	1	1282	34	18	0,438
0	1	763	20	8	0,333
0	1	1165	21	10	0,847
0	1	328	13	15	1
0	1	1348	27	10	0,801
0	2	62	5	24	1
0	2	456	15	20	0,75
0	1	1073	18	20	0,5
1	1	2000	31	11	0,726
0	2	22	3	24	0,862
0	2	39	38	9	0,75
0	1	923	19	18	0,445
0	2	901	18	23	0,5
0	2	624	9	14	0,865
0	1	565	21	14	1
1	2	600	3	8	1
0	1	1032	15	10	0,496
0	1	1225	17	19	0,626
0	1	675	6	12	0,875
0	1	503	19	8	0,436
0	2	334	12	17	1
1	1	385	15	16	1
0	1	920	30	12	1
1	1	1067	19	15	0,949
1	2	140	3	27	1
0	1	1326	22	11	1
0	1	1061	20	19	0,833
0	1	480	10	13	0,924
0	2	381	8	25	1
0	3	5	2	33	0,9
0	2	642	16	7	1
0	2	288	7	29	1
0	2	55	0	15	1
0	2	248	11	8	0,661
0	1	989	20	18	0,75
0	1	442	11	14	1
0	2	122	10	27	1
0	2	214	11	14	1
0	2	84	5	27	1
0	2	454	18	8	0,675
0	1	364	14	8	0,583
0	2	123	4	15	1
0	1	947	25	14	0,5
0	1	787	15	8	0,757
0	1	864	27	7	0,858
0	2	291	2	12	1
0	2	357	16	18	1
0	2	577	13	14	1
0	2	389	8	17	1
1	2	699	13	25	1
0	1	949	17	13	0,925
0	2	814	18	10	0,884
0	1	1050	22	9	1
0	1	386	14	25	1
0	2	210	10	11	0,597
0	2	642	15	15	1
0	1	1100	27	9	0,801
0	2	309	16	8	0,93
0	2	391	12	17	1
0	2	181	7	31	1
0	2	433	14	15	1
0	2	128	14	3	1
0	1	798	19	12	0,916
0	2	357	12	10	0,999
0	3	2	4	15	1
0	2	668	20	4	1
0	2	138	5	26	1
0	1	1488	25	14	1
0	2	185	8	23	1
0	2	373	4	27	1
0	3	28	2	33	1
0	2	386	8	28	1
0	1	662	15	12	0,921
0	1	1335	22	20	1
0	2	70	7	29	1
0	2	277	11	23	0,999
0	1	1209	18	12	0,835
0	2	920	12	14	1
0	2	431	12	16	1
0	1	505	25	8	0,636
0	1	955	21	18	0,791
0	1	983	17	14	0,943
